0,NaN,396020,-1939,21
0.5,407581.234948849,395052.109466519,-1949.50759762251,20.9773527719681
1,406434.080922733,394071.204425907,-1974.41432391911,21.0346288300006
1.5,405551.625949786,393081.607337342,-1994.38869987047,21.0537954063121
2,404694.91552846,392090.562794293,-2004.69323116628,20.9822476073038
2.5,403376.013987007,391079.202181305,-2015.34012463029,20.9070834294985
3,402704.567617825,390075.01289617,-2026.35382387816,20.9106563255195
3.5,401759.15841771,389071.315575814,-2029.25968284193,20.9739219915865
4,400653.160826685,388039.386989676,-2050.63590177383,21.1356765325349
4.5,399834.863429236,387015.04028955,-2049.08404418079,21.0548612846661
5,398645.815919872,386004.284041767,-2073.15343182033,21.0461976141036
5.5,397653.006300406,384958.539988572,-2103.53929088906,21.0358104673971
6,396811.68429784,383896.413679763,-2135.12156577458,21.058106719667
6.5,395685.101142136,382826.611445221,-2141.37311862689,21.0381634975564
7,394593.666915953,381782.946811118,-2159.92361097109,21.0135346423899
7.5,393652.444120006,380708.187342447,-2174.48592912338,20.9900491267723
8,392324.367409279,379616.347209602,-2197.96847088555,20.9812993815139
8.5,391561.094078261,378525.022909881,-2214.80454579735,20.9224048576316
9,390481.235716105,377409.593637534,-2235.52632890744,20.8821785113289
9.5,389321.297184852,376289.208518391,-2254.78680947945,20.8311207406309
10,388269.181251689,375177.649917328,-2253.48567850089,20.7954320310935
10.5,387315.998585986,374067.49416005,-2260.73424768715,20.8487569128822
11,386051.768717379,372933.226089179,-2266.02999458406,20.7678627008514
11.5,384821.076205311,371789.436401433,-2284.69406053785,20.8399974737997
12,383866.473345915,370644.664017823,-2294.57717321416,20.8553352254099
12.5,382923.433224625,369481.58836985,-2310.91379948907,20.8783702596649
13,381590.346713515,368317.184284394,-2313.43098174542,20.9503149052256
13.5,380392.506458729,367165.632663904,-2334.38389200642,20.9032805904388
14,379498.835705912,365982.142807517,-2359.02861299146,20.9526711287885
14.5,378171.761922007,364805.596893569,-2369.88488609214,21.0152104035867
15,376938.492392165,363623.438115443,-2379.26381883261,21.0147021197851
15.5,375885.673421468,362422.477788333,-2390.69710075925,21.0741667988963
16,374685.819551116,361223.884232431,-2401.71748580274,21.052827058394
16.5,373646.110831028,360009.664873217,-2411.55688322781,21.0732982185437
17,372488.42717218,358807.692506833,-2423.79780908654,20.9970446610691
17.5,371391.572618074,357615.92860078,-2446.43499440702,21.028690936487
18,370237.374777377,356378.351100181,-2459.55486516301,21.0738087653881
18.5,369048.34517456,355158.994200123,-2483.51202881086,21.0679308432135
19,367737.091244693,353919.68362246,-2497.18388415816,21.0015552533043
19.5,366473.383395594,352684.947642406,-2515.9084249191,20.9356486011473
20,365415.126073836,351429.476304339,-2529.66990639486,20.982794559634
20.5,364127.375461066,350165.97424406,-2543.52589587593,20.9861124955878
21,362840.46229077,348871.653067175,-2559.94440697103,20.9058757449085
21.5,361726.559601039,347587.69217557,-2565.35433031257,20.898492151592
22,360314.580657773,346307.01270445,-2583.34304844759,20.8948581938076
22.5,359121.448617258,345027.570360026,-2594.29587059956,20.8745302376516
23,357896.214447325,343726.993148413,-2609.79958036131,20.8046896841533
23.5,356636.317564852,342420.655701261,-2625.29841538169,20.796001885231
24,355679.964521758,341112.126815107,-2638.79347294774,20.8120393532879
24.5,354297.599582069,339805.019320176,-2644.85964085848,20.7493153800672
25,352969.736341333,338496.798728535,-2664.57850875419,20.7555509710452
25.5,351639.223190141,337163.566104435,-2678.14020243013,20.7693581966358
26,350513.49912336,335826.043373179,-2678.2371084476,20.8308606129627
26.5,349216.197903123,334479.631073191,-2693.10869400577,20.7343421166418
27,347920.549423717,333126.220619061,-2688.73321813093,20.6564174273996
27.5,346571.233437601,331767.761021587,-2696.85861020296,20.7816201115832
28,345053.515958934,330409.932560238,-2713.9866114053,20.7480696585016
28.5,343981.589685297,329036.905331895,-2717.63771203093,20.8511720825139
29,342611.090203959,327678.182353978,-2745.00833655353,20.8641698616775
29.5,341144.304314403,326301.570408616,-2754.1738988465,20.8721583922241
30,339821.960824376,324925.683796378,-2758.98685812618,20.8963893398741
30.5,338565.984515496,323549.35606164,-2768.47422421946,20.9023132837097
31,337274.639569312,322157.720487003,-2782.98682879383,20.8676013996306
31.5,336136.30385636,320779.963370889,-2809.08184121215,20.8606518272092
32,334709.224658514,319388.050191502,-2825.35242773973,20.8035894718649
32.5,333153.220558548,317981.971242235,-2834.80036406543,20.7635694756413
33,331922.874608846,316562.632120537,-2855.15419328967,20.6851910885553
33.5,330693.353184804,315129.512184496,-2887.21911753034,20.7396140708914
34,329232.832839643,313673.343075049,-2905.00793204645,20.6407452945327
34.5,327812.376699178,312211.998296035,-2916.83395808045,20.6963025546215
35,326334.990319583,310741.933508269,-2933.21226202996,20.6747101907393
35.5,325105.711675662,309264.630818306,-2948.48892903088,20.7582570913671
36,323591.897002409,307796.143356165,-2964.73774838897,20.8693688283013
36.5,322376.756034631,306336.252266108,-2969.0354082807,21.0054037627674
37,320894.08255627,304854.121434887,-2989.24044806232,20.990060650935
37.5,319318.635707832,303367.113917682,-2996.64845570077,21.0158167762191
38,317941.414350589,301865.243247342,-2990.07230274824,21.0325302653351
38.5,316680.78760398,300348.129686475,-3018.00414559367,21.0439056051096
39,314950.385732985,298838.755714495,-3028.3577416583,21.0040022350622
39.5,313623.505941044,297324.90502539,-3042.94603097652,21.0070442533882
40,312256.794510156,295791.624823079,-3044.07931747914,20.9652713578097
40.5,310809.260061213,294271.350199734,-3085.02185066568,21.0360504887159
41,309288.935901505,292743.619407118,-3097.96434154008,21.0279728752096
